date,campaign,platform,spend,clicks,conversions
2024-03-01,Spring_Sale,Google Ads,813.74,2023,184
2024-03-02,Brand_Awareness,TikTok Ads,799.6,2132,189
2024-03-03,Spring_Sale,Meta Ads,871.24,2293,167
2024-03-04,Brand_Awareness,Meta Ads,832.63,2233,194
2024-03-05,Brand_Awareness,Google Ads,840.83,2181,163
2024-03-06,Retargeting,Meta Ads,827.15,2281,200
2024-03-07,Brand_Awareness,Meta Ads,887.12,2300,185
2024-03-08,Retargeting,TikTok Ads,879.2,2236,203
2024-03-09,Spring_Sale,TikTok Ads,918.57,2356,140
2024-03-10,Spring_Sale,TikTok Ads,967.88,2208,175
2024-03-11,Spring_Sale,TikTok Ads,953.67,2001,176
2024-03-12,Spring_Sale,Google Ads,979.28,2347,172
2024-03-13,Retargeting,TikTok Ads,947.66,2149,193
2024-03-14,Spring_Sale,Meta Ads,1008.15,2147,187
2024-03-15,Brand_Awareness,Google Ads,1013.88,2296,52
2024-03-16,Brand_Awareness,Meta Ads,1011.89,2160,45
2024-03-17,Brand_Awareness,Meta Ads,1051.84,2226,60
2024-03-18,Retargeting,Meta Ads,1045.62,2058,55
2024-03-19,Spring_Sale,TikTok Ads,1056.29,2119,58
2024-03-20,Spring_Sale,TikTok Ads,1101.16,2388,61
