date,sessions,bounce_rate,avg_session_duration_sec,conversion_rate
2024-03-01,9552,36.9,186.5,2.5
2024-03-02,9412,38.1,169.1,2.69
2024-03-03,9570,41.1,173.3,2.54
2024-03-04,10003,35.5,188.4,2.86
2024-03-05,9398,38.4,188.9,2.76
2024-03-06,9490,35.4,192.8,2.66
2024-03-07,9862,38.7,174.8,2.65
2024-03-08,9873,36.6,213.0,2.69
2024-03-09,9502,39.3,170.4,2.76
2024-03-10,10089,36.4,199.5,2.68
2024-03-11,10005,41.8,181.3,2.45
2024-03-12,9577,36.4,183.8,2.67
2024-03-13,9869,39.7,185.2,2.89
2024-03-14,9733,43.4,194.4,2.43
2024-03-15,9532,62.4,92.3,1.01
2024-03-16,9918,60.8,84.8,0.67
2024-03-17,9688,63.6,97.6,0.71
2024-03-18,9843,62.2,84.4,0.92
2024-03-19,9814,57.6,99.3,0.98
2024-03-20,10070,64.2,78.5,0.76
