date,revenue,orders,region
2024-03-01,12298.03,238,APAC
2024-03-02,12388.61,258,Europe
2024-03-03,11859.51,237,Europe
2024-03-04,12947.53,249,Europe
2024-03-05,11718.32,246,Europe
2024-03-06,11721.95,234,Europe
2024-03-07,12145.18,217,Europe
2024-03-08,10965.05,233,APAC
2024-03-09,11392.3,243,APAC
2024-03-10,11455.19,223,Europe
2024-03-11,12879.39,237,APAC
2024-03-12,12040.52,222,North America
2024-03-13,11673.37,241,Europe
2024-03-14,11309.4,244,North America
2024-03-15,6899.68,147,North America
2024-03-16,6899.15,168,Europe
2024-03-17,7193.25,139,APAC
2024-03-18,7611.27,137,North America
2024-03-19,7304.43,130,Europe
2024-03-20,6535.91,151,North America
